country,country_code_2_digit,country_code_3_digit,population,daily_count,reported_date,confirmed cases_count,deaths_count,source
Andorra,AD,AND,76177,0,2020-06-16,0,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,86,2020-07-05,86,,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,0,2020-03-19,,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,486,2020-10-11,486,,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,4,2020-09-21,,4,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,2020-02-03,0,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,192,2020-07-28,192,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2,2020-04-18,,2,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,14,2020-10-19,,14,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-05-24,0,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,2020-08-27,,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,0,2020-02-28,0,0,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,3,2020-09-17,,3,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,0,2020-02-22,0,0,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,1,2020-10-02,,1,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,8,2020-03-31,,8,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,10,2020-04-14,10,,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,2020-03-01,0,0,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,279,2020-04-03,279,,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2,2020-09-19,,2,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,911,2020-05-03,911,,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,2020-01-11,0,0,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,7,2020-05-15,7,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,2020-10-18,0,0,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,15,2020-04-26,,15,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,2020-09-28,,0,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,116,2020-08-21,116,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,0,2020-06-02,0,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,1,2020-08-12,,1,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,121,2020-07-04,121,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,5,2020-06-26,,5,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,81,2020-05-18,81,,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,17,2020-08-27,,17,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,9,2020-06-17,,9,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,7,2020-06-29,,7,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,8,2020-10-17,,8,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,71,2020-05-08,,71,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,3,2020-09-13,,3,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,101,2020-08-31,101,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,246,2020-10-20,246,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,138,2020-07-03,138,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,1276,2020-04-21,1276,,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,2020-06-22,0,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,0,2020-01-10,0,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,2020-01-11,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,2020-01-31,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,3,2020-09-17,,3,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,2020-03-30,,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,40,2020-08-21,40,,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2,2020-06-09,,2,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,5,2020-06-16,5,,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,6,2020-09-22,,6,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,7,2020-05-12,7,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,340,2020-07-27,340,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,2020-09-11,,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,8,2020-04-29,8,,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,17,2020-06-08,17,,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-06-03,0,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,17,2020-10-12,,17,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,2020-06-14,,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,2020-06-02,,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,347,2020-03-17,,347,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,2020-01-28,0,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,2020-01-25,0,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,6,2020-08-14,,6,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,2020-04-23,0,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2,2020-02-01,2,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-09-16,0,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,190,2020-04-01,190,,"Epidemic intelligence, national daily data"
Faroes,,,48865,1,2020-08-22,1,,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,4,2020-05-07,4,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,9,2020-07-03,,9,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-01-02,0,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,6,2020-04-16,,6,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,23,2020-04-11,23,,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,143,2020-06-15,143,,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,2020-05-05,,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,11,2020-05-25,,11,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,0,2020-08-02,,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,6,2020-04-25,6,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,4,2020-07-02,4,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,17,2020-09-30,,17,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,0,2020-10-16,,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,62,2020-04-06,62,,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,0,2020-08-11,,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,1,2020-03-31,1,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,7,2020-10-09,7,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,1,2020-04-27,1,,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,1,2020-04-19,,1,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,39,2020-05-14,39,,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1452,2020-09-17,1452,,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,595,2020-03-13,595,,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,0,2020-09-03,,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,2020-06-03,0,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,2020-02-10,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,0,2020-02-02,0,0,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2,2020-09-04,,2,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2692,2020-03-27,2692,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,2020-08-19,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,8,2020-05-09,,8,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,10,2020-07-18,,10,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,201,2020-04-10,201,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,2020-07-24,0,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,14,2020-07-02,,14,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,396,2020-06-16,396,,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2526,2020-05-17,2526,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,2020-01-15,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,1,2020-09-02,,1,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,22,2020-03-21,22,,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,2020-01-24,0,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,27856,2020-10-12,27856,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,838,2020-03-30,,838,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,8,2020-03-12,,8,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,2020-03-23,0,0,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,122,2020-09-11,122,,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,4966,2020-05-02,4966,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,72,2020-08-26,72,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,35,2020-06-03,35,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,1,2020-03-21,,1,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,1,2020-03-07,1,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,3,2020-09-01,,3,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,2020-10-07,,0,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,28,2020-06-17,,28,"Epidemic intelligence, national daily data"
